feature,weight,abs_weight
avg_word_len,1.1476839142434772,1.1476839142434772
rare_word_share,-0.900668516146226,0.900668516146226
long_sentence_share,-0.8608921819295918,0.8608921819295918
dash_freq,0.6362127771777762,0.6362127771777762
colon_freq,-0.6186228210944832,0.6186228210944832
comma_freq,-0.5973729157778908,0.5973729157778908
unique_word_count,-0.36423906126655303,0.36423906126655303
word_count,-0.3425005696451484,0.3425005696451484
avg_sentence_len,-0.2931353692481784,0.2931353692481784
service_word_freq,0.26754003263596277,0.26754003263596277
type_token_ratio,-0.16863321461523134,0.16863321461523134
repeat_ratio,0.16746637670581901,0.16746637670581901
tfidf_107,-0.1193996538064097,0.1193996538064097
tfidf_1073,-0.11581979047496756,0.11581979047496756
tfidf_543,-0.10371034913523326,0.10371034913523326
tfidf_1076,-0.09725805107714425,0.09725805107714425
tfidf_544,-0.09725805107714425,0.09725805107714425
tfidf_623,-0.09725805107714425,0.09725805107714425
tfidf_716,-0.09725805107714425,0.09725805107714425
tfidf_299,-0.09725805107714425,0.09725805107714425
